name = nl
year = 2014
yname = dsc
sex = female
sub = 32
distribution = LMS
citation = vanbuuren2014
publication = van Buuren, S. (2014). Growth Charts of Human Development. Statistical Methods in Medical Research 23 (4): 346-368.
[data]
x	M	S	L
0.1916	8.81	0.3126	1.3917
0.2108	10.59	0.2801	1.4418
0.23	12.27	0.2526	1.4891
0.2491	13.87	0.2291	1.5331
0.2683	15.39	0.2089	1.5722
0.2875	16.83	0.1916	1.6049
0.3066	18.2	0.1767	1.6304
0.3258	19.5	0.164	1.6487
0.3449	20.75	0.15310000000000001	1.6607
0.3641	21.94	0.1436	1.6676
0.3833	23.07	0.1354	1.6706
0.4024	24.16	0.1283	1.6711
0.4216	25.21	0.122	1.6698
0.4408	26.21	0.1165	1.6673
0.4599	27.17	0.1117	1.6636
0.4791	28.1	0.1074	1.6589
0.4983	28.99	0.1035	1.6533
0.5174	29.86	0.1001	1.6471
0.5366	30.7	0.097	1.6403
0.5558	31.5	0.0942	1.633
0.5749	32.29	0.0917	1.6255
0.5941	33.05	0.0894	1.6178
0.6133	33.79	0.0873	1.61
0.6324	34.51	0.0854	1.6022
0.6516	35.21	0.0837	1.5946
0.6708	35.89	0.0821	1.587
0.6899	36.55	0.0807	1.5797
0.7091	37.2	0.0793	1.5725
0.7282	37.83	0.0781	1.5656
0.7474	38.44	0.077	1.5588
0.7666	39.04	0.0759	1.5523
0.7857	39.63	0.0749	1.546
0.8049	40.21	0.074	1.5399
0.8241	40.77	0.0731	1.534
0.8432	41.32	0.0723	1.5284
0.86240000000000006	41.86	0.0715	1.523
0.8816	42.39	0.0707	1.5178
0.9007	42.91	0.07	1.5128
0.9199	43.42	0.0693	1.5081
0.9391	43.92	0.0687	1.5036
0.9582	44.4	0.0681	1.4993
0.9774	44.88	0.0674	1.4952
0.9966	45.36	0.0669	1.4913
1.0157	45.82	0.0663	1.4876
1.0349	46.27	0.0657	1.4841
1.0541	46.72	0.0652	1.4809
1.0732	47.16	0.0647	1.4778
1.0924	47.59	0.0642	1.4749
1.1115	48.01	0.0637	1.4723
1.1307	48.43	0.0632	1.4698
1.1499	48.84	0.0627	1.4676
1.169	49.24	0.0622	1.4655
1.1882	49.64	0.0618	1.4637
1.2074	50.03	0.0613	1.462
1.2265	50.41	0.0608	1.4605
1.2457	50.79	0.0604	1.4592
1.2649	51.16	0.06	1.458
1.284	51.53	0.0595	1.457
1.3032	51.89	0.0591	1.4561
1.3224	52.24	0.0587	1.4553
1.3415	52.59	0.0583	1.4547
1.3607	52.94	0.0578	1.4542
1.3799	53.27	0.0574	1.4538
1.399	53.61	0.057	1.4535
1.4182	53.94	0.0566	1.4534
1.4374	54.26	0.0562	1.4533
1.4565	54.58	0.0559	1.4533
1.4757	54.89	0.0555	1.4533
1.4948	55.2	0.0551	1.4535
1.514	55.5	0.0547	1.4537
1.5332	55.81	0.0544	1.4539
1.5523	56.1	0.054	1.4542
1.5715	56.39	0.0536	1.4546
1.5907	56.68	0.0533	1.4551
1.6098	56.97	0.053	1.4555
1.629	57.25	0.0526	1.4561
1.6482	57.52	0.0523	1.4567
1.6673	57.8	0.052	1.4573
1.6865	58.06	0.0517	1.458
1.7057	58.33	0.0514	1.4587
1.7248000000000001	58.59	0.051	1.4595
1.744	58.85	0.0508	1.4603
1.7632	59.11	0.0505	1.4612
1.7823	59.36	0.0502	1.462
1.8015	59.61	0.0499	1.463
1.8207	59.86	0.0496	1.4639
1.8398	60.11	0.0494	1.4649
1.859	60.35	0.0491	1.466
1.8781	60.59	0.0488	1.467
1.8973	60.82	0.0486	1.4681
1.9165	61.06	0.0483	1.4692
1.9356	61.29	0.0481	1.4704
1.9548	61.52	0.0478	1.4716
1.974	61.75	0.0476	1.4728
1.9931	61.97	0.0474	1.474
1.9999	62.26	0.047	1.4755
2	63.7	0.0457	1.4846
2.0123	63.91	0.0455	1.4861
2.0315	64.11	0.0453	1.4875
2.0507	64.32	0.0451	1.489
2.0698	64.52	0.0449	1.4904
2.089	64.72	0.0447	1.4919
2.1081	64.92	0.0445	1.4934
2.1273	65.11	0.0443	1.4949
2.1465	65.31	0.0441	1.4964
2.1656	65.5	0.044	1.4979
2.1848	65.7	0.0438	1.4994
2.204	65.89	0.0436	1.5009
2.2231	66.08	0.0434	1.5024
2.2423	66.26	0.0433	1.5039
2.2615	66.45	0.0431	1.5054
2.2806	66.64	0.0429	1.5069
2.2998	66.82	0.0428	1.5084
2.319	67	0.0426	1.5098
2.3381	67.18	0.0425	1.5113
2.3573	67.36	0.0423	1.5127
2.3765	67.54	0.0421	1.5142
2.3956	67.72	0.042	1.5156
2.4148	67.89	0.0418	1.517
2.4339	68.07	0.0417	1.5185
2.4531	68.24	0.0415	1.5199
2.4723	68.41	0.0414	1.5213
2.4914	68.59	0.0412	1.5226
2.5106	68.75	0.0411	1.524
2.5298	68.92	0.041	1.5254
2.5489	69.09	0.0408	1.5267
2.5681	69.26	0.0407	1.5281
2.5873	69.42	0.0405	1.5294
2.6064	69.59	0.0404	1.5308
2.6256	69.75	0.0403	1.5321
2.6448	69.91	0.0401	1.5334
2.6639	70.07	0.04	1.5347
2.6831	70.23	0.0399	1.536
2.7023	70.39	0.0397	1.5373000000000001
2.7214	70.55	0.0396	1.5386
2.7406	70.71	0.0395	1.5398
2.7598	70.86	0.0394	1.5411
2.7789	71.02	0.0392	1.5423
