name = nl
year = 2012
yname = hdc
sex = male
sub = 30
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	27.66	1.642
0.0027	27.77	1.633
0.0055	27.89	1.625
0.0082	28	1.617
0.011	28.12	1.609
0.0137	28.24	1.601
0.0164	28.36	1.594
0.0192	28.48	1.587
0.0219	28.6	1.58
0.0246	28.72	1.574
0.0274	28.85	1.568
0.0301	28.97	1.562
0.0329	29.1	1.556
0.0356	29.22	1.551
0.0383	29.35	1.545
0.0575	30.25	1.513
0.0767	31.14	1.488
0.0958	32.01	1.469
0.115	32.85	1.453
0.1342	33.64	1.441
0.1533	34.39	1.432
0.1725	35.09	1.424
0.1916	35.74	1.418
0.2108	36.34	1.414
0.23	36.91	1.411
0.2491	37.44	1.409
0.25	37.47	1.408
0.2917	38.51	1.406
0.3333	39.44	1.406
0.375	40.27	1.407
0.4167	41.02	1.41
0.4583	41.7	1.413
0.5	42.32	1.417
0.5417	42.88	1.42
0.5833	43.4	1.425
0.625	43.87	1.429
0.6667	44.3	1.433
0.7083	44.7	1.438
0.75	45.06	1.442
0.7917	45.4	1.447
0.8333	45.7	1.452
0.875	45.98	1.456
0.9167	46.24	1.461
0.9583	46.47	1.465
1	46.69	1.47
1.0833	47.06	1.479
1.1667	47.38	1.488
1.25	47.64	1.497
1.3333	47.86	1.506
1.4167	48.04	1.514
1.5	48.19	1.523
