name = nl
year = 2012
yname = hgt
sex = male
sub = 33
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	43.91	2.571
0.0027	44.02	2.564
0.0055	44.14	2.557
0.0082	44.26	2.551
0.011	44.39	2.544
0.0137	44.51	2.538
0.0164	44.63	2.532
0.0192	44.76	2.527
0.0219	44.88	2.521
0.0246	45.01	2.516
0.0274	45.14	2.511
0.0301	45.27	2.506
0.0329	45.4	2.501
0.0356	45.53	2.496
0.0383	45.66	2.492
0.0575	46.6	2.465
0.0767	47.56	2.444
0.0958	48.52	2.428
0.115	49.49	2.416
0.1342	50.46	2.407
0.1533	51.41	2.402
0.1725	52.35	2.398
0.1916	53.27	2.397
0.2108	54.17	2.398
0.23	55.05	2.4
0.2491	55.9	2.403
0.25	55.94	2.403
0.2917	57.7	2.414
0.3333	59.33	2.429
0.375	60.85	2.447
0.4167	62.26	2.467
0.4583	63.57	2.489
0.5	64.78	2.512
0.5417	65.92	2.536
0.5833	66.97	2.56
0.625	67.96	2.585
0.6667	68.9	2.611
0.7083	69.78	2.637
0.75	70.62	2.663
0.7917	71.42	2.689
0.8333	72.18	2.716
0.875	72.92	2.742
0.9167	73.62	2.769
0.9583	74.31	2.795
1	74.97	2.822
1.0833	76.24	2.876
1.1667	77.44	2.929
1.25	78.6	2.982
1.3333	79.71	3.034
1.4167	80.78	3.086
1.5	81.83	3.138
1.5833	82.84	3.189
1.6667	83.82	3.24
1.75	84.78	3.289
1.8333	85.72	3.339
1.9167	86.64	3.387
2	87.54	3.435
2.5	92.56	3.708
3	97.07	3.961
3.5	101.16	4.196
4	104.91	4.417
