name = nl
year = 2012
yname = hgt
sex = male
sub = 26
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	30.68	3.478
0.0027	30.89	3.478
0.0055	31.11	3.478
0.0082	31.32	3.477
0.011	31.54	3.477
0.0137	31.75	3.477
0.0164	31.95	3.476
0.0192	32.17	3.476
0.0219	32.38	3.476
0.0246	32.59	3.475
0.0274	32.8	3.475
0.0301	33.01	3.474
0.0329	33.22	3.474
0.0356	33.43	3.474
0.0383	33.63	3.473
0.0575	35.08	3.47
0.0767	36.5	3.466
0.0958	37.87	3.463
0.115	39.23	3.459
0.1342	40.54	3.455
0.1533	41.81	3.451
0.1725	43.05	3.447
0.1916	44.24	3.443
0.2108	45.4	3.439
0.23	46.52	3.436
0.2491	47.59	3.432
0.25	47.64	3.432
0.2917	49.84	3.426
0.3333	51.86	3.422
0.375	53.73	3.419
0.4167	55.44	3.419
0.4583	57.02	3.421
0.5	58.49	3.425
0.5417	59.84	3.431
0.5833	61.1	3.439
0.625	62.28	3.449
0.6667	63.39	3.46
0.7083	64.43	3.473
0.75	65.41	3.487
0.7917	66.34	3.502
0.8333	67.23	3.518
0.875	68.08	3.536
0.9167	68.89	3.554
0.9583	69.67	3.573
1	70.42	3.592
1.0833	71.86	3.633
1.1667	73.21	3.677
1.25	74.48	3.721
1.3333	75.7	3.767
1.4167	76.87	3.814
1.5	78	3.861
1.5833	79.08	3.909
1.6667	80.13	3.957
1.75	81.15	4.006
1.8333	82.13	4.054
1.9167	83.09	4.103
2	84.03	4.152
2.5	89.18	4.442
3	93.71	4.725
3.5	97.75	5
4	101.42	5.269
