name = nl
year = 2012
yname = hdc
sex = male
sub = 25
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	22.06	1.309
0.0027	22.18	1.319
0.0055	22.32	1.329
0.0082	22.45	1.339
0.011	22.59	1.349
0.0137	22.72	1.359
0.0164	22.85	1.368
0.0192	23	1.378
0.0219	23.13	1.387
0.0246	23.27	1.396
0.0274	23.42	1.406
0.0301	23.56	1.415
0.0329	23.7	1.424
0.0356	23.84	1.432
0.0383	23.99	1.441
0.0575	25.01	1.499
0.0767	26.03	1.552
0.0958	27.04	1.6
0.115	28.01	1.643
0.1342	28.95	1.682
0.1533	29.83	1.717
0.1725	30.67	1.747
0.1916	31.47	1.773
0.2108	32.22	1.796
0.23	32.93	1.816
0.2491	33.6	1.833
0.25	33.63	1.834
0.2917	34.97	1.862
0.3333	36.17	1.88
0.375	37.25	1.891
0.4167	38.23	1.896
0.4583	39.11	1.897
0.5	39.91	1.895
0.5417	40.63	1.891
0.5833	41.28	1.885
0.625	41.87	1.878
0.6667	42.41	1.87
0.7083	42.89	1.862
0.75	43.32	1.853
0.7917	43.72	1.843
0.8333	44.07	1.833
0.875	44.39	1.822
0.9167	44.67	1.811
0.9583	44.93	1.8
1	45.16	1.789
1.0833	45.55	1.765
1.1667	45.86	1.742
1.25	46.1	1.718
1.3333	46.28	1.694
1.4167	46.41	1.67
1.5	46.49	1.646
