name = nl
year = 2012
yname = hdc
sex = male
sub = 31
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	28.72	1.649
0.0027	28.82	1.637
0.0055	28.94	1.626
0.0082	29.05	1.615
0.011	29.16	1.605
0.0137	29.27	1.595
0.0164	29.38	1.586
0.0192	29.5	1.576
0.0219	29.62	1.568
0.0246	29.73	1.559
0.0274	29.85	1.551
0.0301	29.97	1.543
0.0329	30.09	1.535
0.0356	30.21	1.528
0.0383	30.33	1.521
0.0575	31.19	1.478
0.0767	32.04	1.445
0.0958	32.87	1.419
0.115	33.67	1.399
0.1342	34.43	1.383
0.1533	35.14	1.37
0.1725	35.8	1.36
0.1916	36.42	1.352
0.2108	36.99	1.346
0.23	37.53	1.342
0.2491	38.03	1.339
0.25	38.05	1.339
0.2917	39.04	1.335
0.3333	39.91	1.335
0.375	40.7	1.337
0.4167	41.4	1.34
0.4583	42.05	1.345
0.5	42.63	1.35
0.5417	43.17	1.355
0.5833	43.66	1.361
0.625	44.12	1.367
0.6667	44.53	1.374
0.7083	44.91	1.38
0.75	45.26	1.387
0.7917	45.58	1.394
0.8333	45.88	1.401
0.875	46.15	1.408
0.9167	46.4	1.415
0.9583	46.63	1.422
1	46.84	1.429
1.0833	47.21	1.443
1.1667	47.52	1.457
1.25	47.78	1.471
1.3333	48.01	1.485
1.4167	48.19	1.498
1.5	48.35	1.512
