name = nl
year = 2012
yname = hdc
sex = female
sub = 33
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	30.11	1.45
0.0027	30.2	1.441
0.0055	30.29	1.431
0.0082	30.38	1.423
0.011	30.48	1.414
0.0137	30.57	1.406
0.0164	30.67	1.398
0.0192	30.77	1.39
0.0219	30.86	1.382
0.0246	30.96	1.375
0.0274	31.07	1.368
0.0301	31.16	1.361
0.0329	31.27	1.354
0.0356	31.37	1.348
0.0383	31.47	1.342
0.0575	32.21	1.304
0.0767	32.94	1.274
0.0958	33.66	1.249
0.115	34.35	1.229
0.1342	34.99	1.212
0.1533	35.59	1.198
0.1725	36.15	1.186
0.1916	36.67	1.177
0.2108	37.15	1.169
0.23	37.59	1.162
0.2491	38.01	1.157
0.25	38.03	1.157
0.2917	38.84	1.15
0.3333	39.56	1.148
0.375	40.21	1.15
0.4167	40.81	1.155
0.4583	41.35	1.162
0.5	41.85	1.17
0.5417	42.32	1.181
0.5833	42.75	1.193
0.625	43.14	1.205
0.6667	43.51	1.219
0.7083	43.86	1.233
0.75	44.17	1.248
0.7917	44.47	1.263
0.8333	44.75	1.278
0.875	45	1.295
0.9167	45.25	1.311
0.9583	45.47	1.328
1	45.68	1.345
1.0833	46.07	1.38
1.1667	46.41	1.416
1.25	46.71	1.454
1.3333	46.98	1.492
1.4167	47.22	1.531
1.5	47.44	1.57
