name = nl
year = 2012
yname = hgt
sex = female
sub = 28
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	34.58	3.194
0.0027	34.76	3.179
0.0055	34.95	3.164
0.0082	35.13	3.149
0.011	35.32	3.135
0.0137	35.49	3.122
0.0164	35.67	3.109
0.0192	35.86	3.096
0.0219	36.03	3.084
0.0246	36.21	3.072
0.0274	36.39	3.06
0.0301	36.57	3.049
0.0329	36.75	3.037
0.0356	36.93	3.027
0.0383	37.1	3.016
0.0575	38.33	2.949
0.0767	39.53	2.893
0.0958	40.7	2.846
0.115	41.84	2.805
0.1342	42.96	2.77
0.1533	44.03	2.74
0.1725	45.08	2.714
0.1916	46.09	2.692
0.2108	47.08	2.672
0.23	48.03	2.656
0.2491	48.95	2.642
0.25	49	2.641
0.2917	50.9	2.617
0.3333	52.68	2.602
0.375	54.33	2.592
0.4167	55.87	2.588
0.4583	57.3	2.588
0.5	58.64	2.592
0.5417	59.9	2.599
0.5833	61.08	2.608
0.625	62.19	2.619
0.6667	63.24	2.632
0.7083	64.23	2.647
0.75	65.18	2.663
0.7917	66.08	2.68
0.8333	66.94	2.698
0.875	67.77	2.717
0.9167	68.57	2.737
0.9583	69.33	2.758
1	70.08	2.778
1.0833	71.5	2.822
1.1667	72.84	2.866
1.25	74.12	2.912
1.3333	75.35	2.958
1.4167	76.52	3.005
1.5	77.66	3.052
1.5833	78.76	3.099
1.6667	79.82	3.146
1.75	80.86	3.194
1.8333	81.86	3.241
1.9167	82.84	3.288
2	83.8	3.335
2.5	89.09	3.615
3	93.78	3.889
3.5	98.01	4.159
4	101.85	4.425
