name = nl
year = 2012
yname = hdc
sex = male
sub = 27
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	24.36	1.497
0.0027	24.48	1.499
0.0055	24.61	1.502
0.0082	24.74	1.504
0.011	24.87	1.507
0.0137	25	1.509
0.0164	25.13	1.511
0.0192	25.26	1.514
0.0219	25.39	1.516
0.0246	25.53	1.518
0.0274	25.67	1.521
0.0301	25.8	1.523
0.0329	25.94	1.526
0.0356	26.08	1.528
0.0383	26.22	1.53
0.0575	27.2	1.547
0.0767	28.18	1.563
0.0958	29.14	1.577
0.115	30.08	1.591
0.1342	30.97	1.603
0.1533	31.8	1.614
0.1725	32.6	1.623
0.1916	33.34	1.632
0.2108	34.04	1.639
0.23	34.7	1.646
0.2491	35.31	1.651
0.25	35.34	1.651
0.2917	36.57	1.661
0.3333	37.66	1.667
0.375	38.64	1.671
0.4167	39.52	1.673
0.4583	40.32	1.674
0.5	41.04	1.674
0.5417	41.7	1.673
0.5833	42.29	1.671
0.625	42.83	1.669
0.6667	43.32	1.667
0.7083	43.77	1.664
0.75	44.18	1.661
0.7917	44.55	1.658
0.8333	44.88	1.654
0.875	45.18	1.651
0.9167	45.46	1.647
0.9583	45.71	1.643
1	45.93	1.639
1.0833	46.32	1.631
1.1667	46.64	1.622
1.25	46.89	1.613
1.3333	47.09	1.604
1.4167	47.25	1.594
1.5	47.36	1.585
