name = nl
year = 2012
yname = hdc
sex = female
sub = 31
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	28.09	1.503
0.0027	28.19	1.494
0.0055	28.3	1.485
0.0082	28.41	1.476
0.011	28.52	1.468
0.0137	28.63	1.46
0.0164	28.74	1.452
0.0192	28.86	1.444
0.0219	28.97	1.437
0.0246	29.08	1.43
0.0274	29.2	1.423
0.0301	29.32	1.417
0.0329	29.44	1.411
0.0356	29.55	1.405
0.0383	29.67	1.399
0.0575	30.51	1.362
0.0767	31.35	1.332
0.0958	32.16	1.308
0.115	32.93	1.287
0.1342	33.66	1.27
0.1533	34.34	1.255
0.1725	34.97	1.243
0.1916	35.56	1.233
0.2108	36.1	1.224
0.23	36.61	1.217
0.2491	37.08	1.212
0.25	37.1	1.211
0.2917	38.02	1.203
0.3333	38.84	1.2
0.375	39.57	1.2
0.4167	40.24	1.204
0.4583	40.85	1.21
0.5	41.4	1.218
0.5417	41.91	1.228
0.5833	42.38	1.24
0.625	42.82	1.252
0.6667	43.22	1.265
0.7083	43.58	1.279
0.75	43.93	1.294
0.7917	44.24	1.309
0.8333	44.54	1.324
0.875	44.81	1.34
0.9167	45.06	1.357
0.9583	45.3	1.374
1	45.52	1.391
1.0833	45.91	1.426
1.1667	46.26	1.462
1.25	46.56	1.5
1.3333	46.83	1.538
1.4167	47.06	1.577
1.5	47.27	1.617
