name = nl
year = 2012
yname = hgt
sex = male
sub = 32
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	42.26	2.696
0.0027	42.39	2.689
0.0055	42.52	2.682
0.0082	42.65	2.675
0.011	42.78	2.668
0.0137	42.91	2.662
0.0164	43.05	2.656
0.0192	43.19	2.65
0.0219	43.32	2.645
0.0246	43.46	2.639
0.0274	43.6	2.634
0.0301	43.73	2.629
0.0329	43.88	2.624
0.0356	44.01	2.619
0.0383	44.15	2.615
0.0575	45.15	2.586
0.0767	46.17	2.563
0.0958	47.18	2.545
0.115	48.2	2.532
0.1342	49.21	2.521
0.1533	50.21	2.514
0.1725	51.18	2.509
0.1916	52.13	2.506
0.2108	53.07	2.505
0.23	53.98	2.505
0.2491	54.85	2.507
0.25	54.89	2.507
0.2917	56.71	2.515
0.3333	58.4	2.527
0.375	59.96	2.542
0.4167	61.41	2.56
0.4583	62.75	2.579
0.5	64	2.6
0.5417	65.16	2.621
0.5833	66.24	2.644
0.625	67.26	2.667
0.6667	68.22	2.691
0.7083	69.12	2.715
0.75	69.98	2.74
0.7917	70.8	2.765
0.8333	71.58	2.79
0.875	72.33	2.815
0.9167	73.06	2.841
0.9583	73.75	2.866
1	74.43	2.892
1.0833	75.72	2.943
1.1667	76.95	2.995
1.25	78.13	3.046
1.3333	79.26	3.097
1.4167	80.35	3.148
1.5	81.4	3.199
1.5833	82.43	3.249
1.6667	83.43	3.298
1.75	84.4	3.347
1.8333	85.35	3.395
1.9167	86.27	3.443
2	87.18	3.49
2.5	92.24	3.76
3	96.77	4.01
3.5	100.88	4.244
4	104.63	4.465
