name = nl
year = 2012
yname = hgt
sex = male
sub = 36
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	48.32	2.261
0.0027	48.4	2.256
0.0055	48.5	2.25
0.0082	48.58	2.245
0.011	48.68	2.24
0.0137	48.77	2.236
0.0164	48.87	2.231
0.0192	48.97	2.227
0.0219	49.06	2.223
0.0246	49.16	2.219
0.0274	49.27	2.215
0.0301	49.37	2.212
0.0329	49.48	2.208
0.0356	49.58	2.205
0.0383	49.69	2.202
0.0575	50.46	2.184
0.0767	51.27	2.171
0.0958	52.1	2.163
0.115	52.95	2.158
0.1342	53.8	2.156
0.1533	54.65	2.157
0.1725	55.49	2.16
0.1916	56.31	2.164
0.2108	57.12	2.17
0.23	57.92	2.177
0.2491	58.69	2.186
0.25	58.73	2.186
0.2917	60.33	2.207
0.3333	61.83	2.231
0.375	63.23	2.257
0.4167	64.53	2.285
0.4583	65.73	2.314
0.5	66.85	2.343
0.5417	67.89	2.373
0.5833	68.87	2.404
0.625	69.79	2.434
0.6667	70.65	2.465
0.7083	71.47	2.496
0.75	72.25	2.527
0.7917	72.99	2.558
0.8333	73.7	2.589
0.875	74.39	2.619
0.9167	75.05	2.65
0.9583	75.69	2.681
1	76.31	2.711
1.0833	77.5	2.772
1.1667	78.63	2.832
1.25	79.72	2.892
1.3333	80.78	2.95
1.4167	81.8	3.008
1.5	82.79	3.066
1.5833	83.75	3.122
1.6667	84.7	3.178
1.75	85.62	3.233
1.8333	86.52	3.287
1.9167	87.4	3.34
2	88.27	3.392
2.5	93.14	3.691
3	97.54	3.964
3.5	101.55	4.218
4	105.24	4.456
