name = nl
year = 2012
yname = hgt
sex = female
sub = 30
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	38.22	3.099
0.0027	38.38	3.088
0.0055	38.54	3.078
0.0082	38.7	3.067
0.011	38.86	3.057
0.0137	39.02	3.048
0.0164	39.17	3.038
0.0192	39.33	3.029
0.0219	39.49	3.02
0.0246	39.65	3.012
0.0274	39.81	3.003
0.0301	39.96	2.995
0.0329	40.12	2.987
0.0356	40.28	2.979
0.0383	40.43	2.972
0.0575	41.53	2.924
0.0767	42.62	2.883
0.0958	43.68	2.849
0.115	44.72	2.819
0.1342	45.74	2.794
0.1533	46.74	2.773
0.1725	47.71	2.754
0.1916	48.65	2.738
0.2108	49.57	2.725
0.23	50.46	2.714
0.2491	51.33	2.704
0.25	51.37	2.704
0.2917	53.16	2.689
0.3333	54.83	2.681
0.375	56.39	2.679
0.4167	57.85	2.681
0.4583	59.21	2.686
0.5	60.49	2.695
0.5417	61.69	2.706
0.5833	62.81	2.72
0.625	63.87	2.735
0.6667	64.88	2.752
0.7083	65.83	2.77
0.75	66.74	2.79
0.7917	67.6	2.81
0.8333	68.43	2.831
0.875	69.23	2.853
0.9167	70	2.876
0.9583	70.74	2.899
1	71.46	2.923
1.0833	72.84	2.971
1.1667	74.14	3.021
1.25	75.39	3.071
1.3333	76.58	3.122
1.4167	77.74	3.172
1.5	78.85	3.223
1.5833	79.93	3.274
1.6667	80.97	3.325
1.75	81.99	3.376
1.8333	82.99	3.426
1.9167	83.95	3.476
2	84.9	3.526
2.5	90.16	3.819
3	94.84	4.102
3.5	99.07	4.376
4	102.94	4.644
