name = nl
year = 2012
yname = hgt
sex = male
sub = 30
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	38.71	2.977
0.0027	38.86	2.97
0.0055	39.02	2.964
0.0082	39.17	2.958
0.011	39.33	2.952
0.0137	39.49	2.946
0.0164	39.64	2.941
0.0192	39.8	2.935
0.0219	39.96	2.93
0.0246	40.12	2.925
0.0274	40.28	2.92
0.0301	40.44	2.915
0.0329	40.6	2.911
0.0356	40.76	2.906
0.0383	40.92	2.902
0.0575	42.05	2.874
0.0767	43.19	2.851
0.0958	44.32	2.833
0.115	45.44	2.817
0.1342	46.54	2.805
0.1533	47.62	2.795
0.1725	48.67	2.788
0.1916	49.7	2.782
0.2108	50.7	2.779
0.23	51.67	2.776
0.2491	52.61	2.775
0.25	52.65	2.775
0.2917	54.59	2.777
0.3333	56.38	2.783
0.375	58.04	2.792
0.4167	59.57	2.804
0.4583	60.99	2.818
0.5	62.31	2.834
0.5417	63.53	2.852
0.5833	64.67	2.87
0.625	65.74	2.89
0.6667	66.75	2.91
0.7083	67.69	2.931
0.75	68.59	2.953
0.7917	69.45	2.975
0.8333	70.27	2.998
0.875	71.05	3.021
0.9167	71.8	3.044
0.9583	72.53	3.068
1	73.23	3.091
1.0833	74.57	3.14
1.1667	75.85	3.188
1.25	77.06	3.237
1.3333	78.22	3.287
1.4167	79.34	3.336
1.5	80.42	3.385
1.5833	81.47	3.434
1.6667	82.49	3.482
1.75	83.48	3.53
1.8333	84.45	3.578
1.9167	85.39	3.625
2	86.31	3.672
2.5	91.43	3.942
3	95.99	4.196
3.5	100.1	4.436
4	103.85	4.665
