name = nl
year = 2012
yname = hgt
sex = male
sub = 28
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	34.85	3.243
0.0027	35.03	3.239
0.0055	35.21	3.234
0.0082	35.39	3.231
0.011	35.58	3.227
0.0137	35.76	3.223
0.0164	35.94	3.219
0.0192	36.13	3.215
0.0219	36.31	3.212
0.0246	36.49	3.209
0.0274	36.68	3.205
0.0301	36.86	3.202
0.0329	37.05	3.199
0.0356	37.23	3.195
0.0383	37.41	3.192
0.0575	38.69	3.173
0.0767	39.96	3.156
0.0958	41.21	3.142
0.115	42.44	3.129
0.1342	43.64	3.119
0.1533	44.81	3.11
0.1725	45.96	3.102
0.1916	47.06	3.096
0.2108	48.14	3.091
0.23	49.18	3.087
0.2491	50.18	3.084
0.25	50.23	3.084
0.2917	52.29	3.08
0.3333	54.2	3.08
0.375	55.96	3.084
0.4167	57.58	3.09
0.4583	59.08	3.098
0.5	60.46	3.109
0.5417	61.75	3.121
0.5833	62.95	3.135
0.625	64.08	3.15
0.6667	65.13	3.166
0.7083	66.12	3.183
0.75	67.06	3.201
0.7917	67.96	3.22
0.8333	68.81	3.24
0.875	69.63	3.26
0.9167	70.41	3.281
0.9583	71.16	3.303
1	71.89	3.325
1.0833	73.28	3.37
1.1667	74.59	3.416
1.25	75.84	3.462
1.3333	77.03	3.51
1.4167	78.18	3.558
1.5	79.28	3.606
1.5833	80.35	3.654
1.6667	81.39	3.702
1.75	82.39	3.75
1.8333	83.37	3.797
1.9167	84.33	3.845
2	85.26	3.892
2.5	90.4	4.169
3	94.96	4.434
3.5	99.05	4.688
4	102.77	4.932
