name = nl
year = 2012
yname = hgt
sex = male
sub = 34
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	45.47	2.46
0.0027	45.57	2.453
0.0055	45.68	2.447
0.0082	45.79	2.44
0.011	45.91	2.434
0.0137	46.02	2.429
0.0164	46.13	2.423
0.0192	46.25	2.418
0.0219	46.36	2.413
0.0246	46.48	2.408
0.0274	46.6	2.403
0.0301	46.72	2.398
0.0329	46.84	2.394
0.0356	46.96	2.39
0.0383	47.08	2.386
0.0575	47.96	2.361
0.0767	48.87	2.342
0.0958	49.79	2.328
0.115	50.72	2.319
0.1342	51.64	2.312
0.1533	52.56	2.309
0.1725	53.46	2.307
0.1916	54.35	2.308
0.2108	55.22	2.31
0.23	56.06	2.314
0.2491	56.89	2.319
0.25	56.92	2.319
0.2917	58.63	2.334
0.3333	60.22	2.352
0.375	61.7	2.372
0.4167	63.07	2.395
0.4583	64.34	2.419
0.5	65.52	2.444
0.5417	66.62	2.47
0.5833	67.65	2.497
0.625	68.62	2.524
0.6667	69.53	2.551
0.7083	70.39	2.578
0.75	71.21	2.606
0.7917	71.99	2.634
0.8333	72.74	2.662
0.875	73.45	2.69
0.9167	74.15	2.718
0.9583	74.81	2.745
1	75.46	2.773
1.0833	76.7	2.829
1.1667	77.89	2.884
1.25	79.02	2.939
1.3333	80.12	2.993
1.4167	81.17	3.047
1.5	82.2	3.1
1.5833	83.2	3.153
1.6667	84.17	3.205
1.75	85.12	3.256
1.8333	86.04	3.307
1.9167	86.95	3.356
2	87.84	3.405
2.5	92.82	3.685
3	97.3	3.943
3.5	101.37	4.181
4	105.11	4.406
