name = nl
year = 2012
yname = hdc
sex = male
sub = 35
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	32.62	1.53
0.0027	32.7	1.514
0.0055	32.78	1.498
0.0082	32.85	1.484
0.011	32.94	1.469
0.0137	33.02	1.456
0.0164	33.1	1.443
0.0192	33.18	1.43
0.0219	33.27	1.419
0.0246	33.35	1.408
0.0274	33.44	1.396
0.0301	33.53	1.386
0.0329	33.62	1.376
0.0356	33.71	1.366
0.0383	33.8	1.357
0.0575	34.46	1.301
0.0767	35.12	1.259
0.0958	35.78	1.227
0.115	36.41	1.202
0.1342	37.01	1.183
0.1533	37.57	1.168
0.1725	38.09	1.157
0.1916	38.58	1.149
0.2108	39.03	1.144
0.23	39.45	1.14
0.2491	39.84	1.138
0.25	39.86	1.138
0.2917	40.64	1.138
0.3333	41.32	1.143
0.375	41.94	1.15
0.4167	42.51	1.16
0.4583	43.02	1.17
0.5	43.5	1.182
0.5417	43.94	1.195
0.5833	44.34	1.208
0.625	44.72	1.222
0.6667	45.07	1.236
0.7083	45.39	1.251
0.75	45.69	1.266
0.7917	45.96	1.281
0.8333	46.22	1.296
0.875	46.46	1.311
0.9167	46.68	1.327
0.9583	46.88	1.343
1	47.07	1.359
1.0833	47.4	1.391
1.1667	47.69	1.423
1.25	47.94	1.456
1.3333	48.15	1.489
1.4167	48.34	1.522
1.5	48.5	1.555
