name = nl
year = 2012
yname = hdc
sex = female
sub = 28
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	24.82	1.579
0.0027	24.95	1.571
0.0055	25.08	1.563
0.0082	25.2	1.556
0.011	25.33	1.549
0.0137	25.46	1.542
0.0164	25.59	1.535
0.0192	25.73	1.529
0.0219	25.86	1.523
0.0246	25.99	1.517
0.0274	26.13	1.511
0.0301	26.26	1.505
0.0329	26.4	1.5
0.0356	26.54	1.495
0.0383	26.67	1.49
0.0575	27.64	1.459
0.0767	28.61	1.433
0.0958	29.54	1.413
0.115	30.44	1.395
0.1342	31.28	1.38
0.1533	32.07	1.367
0.1725	32.82	1.356
0.1916	33.51	1.347
0.2108	34.15	1.338
0.23	34.75	1.331
0.2491	35.31	1.326
0.25	35.34	1.325
0.2917	36.45	1.316
0.3333	37.43	1.311
0.375	38.3	1.311
0.4167	39.09	1.313
0.4583	39.8	1.318
0.5	40.45	1.325
0.5417	41.04	1.334
0.5833	41.58	1.345
0.625	42.08	1.357
0.6667	42.53	1.37
0.7083	42.94	1.384
0.75	43.32	1.399
0.7917	43.66	1.414
0.8333	43.98	1.43
0.875	44.27	1.446
0.9167	44.54	1.463
0.9583	44.79	1.48
1	45.02	1.497
1.0833	45.42	1.533
1.1667	45.77	1.571
1.25	46.06	1.609
1.3333	46.31	1.649
1.4167	46.52	1.689
1.5	46.7	1.73
