name = nl
year = 2012
yname = hdc
sex = female
sub = 29
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	25.93	1.558
0.0027	26.05	1.55
0.0055	26.18	1.542
0.0082	26.3	1.534
0.011	26.42	1.526
0.0137	26.55	1.519
0.0164	26.67	1.512
0.0192	26.8	1.505
0.0219	26.93	1.498
0.0246	27.05	1.492
0.0274	27.19	1.486
0.0301	27.31	1.48
0.0329	27.45	1.474
0.0356	27.58	1.468
0.0383	27.71	1.463
0.0575	28.64	1.43
0.0767	29.56	1.402
0.0958	30.46	1.38
0.115	31.32	1.361
0.1342	32.13	1.345
0.1533	32.88	1.331
0.1725	33.59	1.319
0.1916	34.24	1.309
0.2108	34.86	1.3
0.23	35.43	1.293
0.2491	35.96	1.287
0.25	35.98	1.287
0.2917	37.03	1.278
0.3333	37.95	1.273
0.375	38.77	1.273
0.4167	39.52	1.276
0.4583	40.19	1.281
0.5	40.81	1.289
0.5417	41.38	1.298
0.5833	41.89	1.309
0.625	42.36	1.321
0.6667	42.79	1.334
0.7083	43.19	1.348
0.75	43.56	1.363
0.7917	43.89	1.378
0.8333	44.2	1.394
0.875	44.49	1.41
0.9167	44.75	1.426
0.9583	45	1.444
1	45.22	1.461
1.0833	45.63	1.497
1.1667	45.97	1.534
1.25	46.27	1.572
1.3333	46.53	1.611
1.4167	46.75	1.651
1.5	46.94	1.692
