name = nl
year = 2012
yname = hdc
sex = female
sub = 36
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	32.77	1.387
0.0027	32.83	1.377
0.0055	32.89	1.368
0.0082	32.95	1.359
0.011	33.02	1.351
0.0137	33.09	1.343
0.0164	33.16	1.335
0.0192	33.23	1.328
0.0219	33.3	1.32
0.0246	33.38	1.314
0.0274	33.45	1.307
0.0301	33.53	1.3
0.0329	33.61	1.294
0.0356	33.68	1.288
0.0383	33.76	1.282
0.0575	34.34	1.246
0.0767	34.94	1.218
0.0958	35.52	1.195
0.115	36.09	1.176
0.1342	36.62	1.161
0.1533	37.12	1.149
0.1725	37.59	1.138
0.1916	38.01	1.13
0.2108	38.41	1.124
0.23	38.78	1.118
0.2491	39.13	1.115
0.25	39.14	1.114
0.2917	39.82	1.11
0.3333	40.43	1.11
0.375	40.98	1.113
0.4167	41.48	1.119
0.4583	41.95	1.127
0.5	42.38	1.137
0.5417	42.79	1.149
0.5833	43.16	1.161
0.625	43.51	1.175
0.6667	43.84	1.189
0.7083	44.15	1.204
0.75	44.43	1.219
0.7917	44.7	1.235
0.8333	44.95	1.251
0.875	45.19	1.268
0.9167	45.41	1.285
0.9583	45.62	1.302
1	45.81	1.32
1.0833	46.17	1.356
1.1667	46.5	1.393
1.25	46.79	1.432
1.3333	47.05	1.471
1.4167	47.29	1.51
1.5	47.5	1.551
