name = nl
year = 2012
yname = hdc
sex = female
sub = 35
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	31.95	1.408
0.0027	32.02	1.398
0.0055	32.09	1.389
0.0082	32.17	1.38
0.011	32.24	1.371
0.0137	32.32	1.363
0.0164	32.39	1.355
0.0192	32.48	1.347
0.0219	32.56	1.34
0.0246	32.64	1.333
0.0274	32.72	1.326
0.0301	32.8	1.319
0.0329	32.89	1.313
0.0356	32.98	1.307
0.0383	33.06	1.301
0.0575	33.69	1.264
0.0767	34.33	1.234
0.0958	34.95	1.211
0.115	35.56	1.192
0.1342	36.13	1.176
0.1533	36.66	1.163
0.1725	37.15	1.152
0.1916	37.6	1.143
0.2108	38.03	1.136
0.23	38.42	1.131
0.2491	38.78	1.126
0.25	38.8	1.126
0.2917	39.52	1.121
0.3333	40.16	1.12
0.375	40.74	1.123
0.4167	41.27	1.129
0.4583	41.76	1.136
0.5	42.22	1.146
0.5417	42.64	1.157
0.5833	43.03	1.169
0.625	43.4	1.183
0.6667	43.74	1.197
0.7083	44.06	1.211
0.75	44.35	1.226
0.7917	44.63	1.242
0.8333	44.89	1.258
0.875	45.13	1.274
0.9167	45.36	1.291
0.9583	45.58	1.308
1	45.78	1.326
1.0833	46.15	1.361
1.1667	46.48	1.398
1.25	46.77	1.436
1.3333	47.04	1.475
1.4167	47.28	1.514
1.5	47.5	1.554
