name = nl
year = 2012
yname = hgt
sex = female
sub = 27
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	32.66	3.107
0.0027	32.85	3.09
0.0055	33.05	3.073
0.0082	33.24	3.057
0.011	33.44	3.042
0.0137	33.63	3.027
0.0164	33.82	3.012
0.0192	34.02	2.998
0.0219	34.21	2.984
0.0246	34.4	2.971
0.0274	34.59	2.957
0.0301	34.78	2.945
0.0329	34.97	2.932
0.0356	35.16	2.92
0.0383	35.34	2.908
0.0575	36.64	2.834
0.0767	37.91	2.771
0.0958	39.13	2.719
0.115	40.32	2.674
0.1342	41.48	2.635
0.1533	42.6	2.601
0.1725	43.69	2.573
0.1916	44.74	2.548
0.2108	45.76	2.526
0.23	46.75	2.507
0.2491	47.7	2.491
0.25	47.75	2.491
0.2917	49.71	2.463
0.3333	51.54	2.444
0.375	53.24	2.432
0.4167	54.82	2.425
0.4583	56.29	2.423
0.5	57.67	2.424
0.5417	58.95	2.428
0.5833	60.16	2.435
0.625	61.3	2.444
0.6667	62.37	2.455
0.7083	63.38	2.467
0.75	64.35	2.481
0.7917	65.27	2.496
0.8333	66.14	2.512
0.875	66.99	2.529
0.9167	67.8	2.546
0.9583	68.58	2.564
1	69.33	2.583
1.0833	70.77	2.622
1.1667	72.14	2.662
1.25	73.43	2.704
1.3333	74.67	2.746
1.4167	75.86	2.789
1.5	77.01	2.832
1.5833	78.11	2.876
1.6667	79.18	2.919
1.75	80.22	2.963
1.8333	81.24	3.007
1.9167	82.22	3.051
2	83.18	3.095
2.5	88.49	3.357
3	93.17	3.617
3.5	97.38	3.873
4	101.21	4.128
