name = nl
year = 2012
yname = hdc
sex = female
sub = 27
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	23.69	1.589
0.0027	23.82	1.581
0.0055	23.95	1.574
0.0082	24.08	1.567
0.011	24.22	1.561
0.0137	24.36	1.555
0.0164	24.49	1.549
0.0192	24.63	1.543
0.0219	24.77	1.537
0.0246	24.9	1.532
0.0274	25.05	1.526
0.0301	25.19	1.521
0.0329	25.33	1.516
0.0356	25.47	1.512
0.0383	25.61	1.507
0.0575	26.62	1.479
0.0767	27.61	1.456
0.0958	28.58	1.437
0.115	29.51	1.422
0.1342	30.39	1.409
0.1533	31.22	1.397
0.1725	31.99	1.387
0.1916	32.72	1.378
0.2108	33.39	1.371
0.23	34.03	1.364
0.2491	34.62	1.359
0.25	34.65	1.359
0.2917	35.82	1.35
0.3333	36.85	1.345
0.375	37.78	1.344
0.4167	38.61	1.346
0.4583	39.36	1.351
0.5	40.05	1.357
0.5417	40.67	1.366
0.5833	41.23	1.377
0.625	41.75	1.389
0.6667	42.21	1.401
0.7083	42.64	1.415
0.75	43.03	1.43
0.7917	43.39	1.445
0.8333	43.72	1.461
0.875	44.01	1.477
0.9167	44.29	1.494
0.9583	44.54	1.511
1	44.77	1.528
1.0833	45.17	1.565
1.1667	45.52	1.602
1.25	45.8	1.641
1.3333	46.04	1.681
1.4167	46.24	1.721
1.5	46.41	1.763
