name = nl
year = 2012
yname = hgt
sex = female
sub = 29
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	36.44	3.186
0.0027	36.61	3.174
0.0055	36.78	3.161
0.0082	36.95	3.148
0.011	37.12	3.136
0.0137	37.29	3.125
0.0164	37.46	3.114
0.0192	37.63	3.102
0.0219	37.8	3.092
0.0246	37.96	3.082
0.0274	38.13	3.071
0.0301	38.3	3.062
0.0329	38.47	3.052
0.0356	38.64	3.043
0.0383	38.8	3.034
0.0575	39.96	2.976
0.0767	41.1	2.927
0.0958	42.22	2.886
0.115	43.31	2.851
0.1342	44.38	2.821
0.1533	45.41	2.795
0.1725	46.42	2.773
0.1916	47.39	2.753
0.2108	48.35	2.737
0.23	49.27	2.723
0.2491	50.16	2.711
0.25	50.2	2.71
0.2917	52.05	2.691
0.3333	53.77	2.679
0.375	55.38	2.673
0.4167	56.88	2.672
0.4583	58.28	2.675
0.5	59.59	2.681
0.5417	60.81	2.69
0.5833	61.96	2.702
0.625	63.05	2.715
0.6667	64.08	2.731
0.7083	65.05	2.747
0.75	65.98	2.765
0.7917	66.86	2.784
0.8333	67.71	2.804
0.875	68.52	2.825
0.9167	69.3	2.847
0.9583	70.06	2.869
1	70.79	2.891
1.0833	72.19	2.937
1.1667	73.51	2.985
1.25	74.77	3.034
1.3333	75.98	3.083
1.4167	77.15	3.132
1.5	78.27	3.182
1.5833	79.36	3.231
1.6667	80.42	3.281
1.75	81.45	3.331
1.8333	82.44	3.38
1.9167	83.42	3.429
2	84.37	3.479
2.5	89.65	3.768
3	94.34	4.05
3.5	98.57	4.326
4	102.43	4.596
