name = nl
year = 2012
yname = hgt
sex = male
sub = 35
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	46.94	2.358
0.0027	47.04	2.352
0.0055	47.14	2.345
0.0082	47.23	2.34
0.011	47.34	2.334
0.0137	47.44	2.329
0.0164	47.54	2.324
0.0192	47.65	2.319
0.0219	47.76	2.315
0.0246	47.86	2.31
0.0274	47.98	2.306
0.0301	48.09	2.302
0.0329	48.2	2.298
0.0356	48.31	2.294
0.0383	48.43	2.29
0.0575	49.25	2.269
0.0767	50.11	2.253
0.0958	50.98	2.242
0.115	51.87	2.234
0.1342	52.76	2.23
0.1533	53.63	2.229
0.1725	54.51	2.229
0.1916	55.36	2.232
0.2108	56.2	2.236
0.23	57.02	2.242
0.2491	57.82	2.248
0.25	57.85	2.249
0.2917	59.51	2.266
0.3333	61.05	2.287
0.375	62.49	2.311
0.4167	63.82	2.336
0.4583	65.06	2.362
0.5	66.21	2.39
0.5417	67.28	2.418
0.5833	68.29	2.446
0.625	69.23	2.475
0.6667	70.12	2.504
0.7083	70.95	2.533
0.75	71.75	2.563
0.7917	72.52	2.592
0.8333	73.24	2.621
0.875	73.94	2.651
0.9167	74.62	2.68
0.9583	75.27	2.709
1	75.91	2.738
1.0833	77.13	2.796
1.1667	78.29	2.854
1.25	79.4	2.911
1.3333	80.47	2.968
1.4167	81.51	3.023
1.5	82.52	3.078
1.5833	83.5	3.133
1.6667	84.46	3.187
1.75	85.4	3.239
1.8333	86.31	3.292
1.9167	87.21	3.343
2	88.08	3.394
2.5	93.01	3.682
3	97.46	3.946
3.5	101.5	4.192
4	105.22	4.422
