name = nl
year = 2012
yname = hgt
sex = female
sub = 26
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	30.66	2.927
0.0027	30.87	2.909
0.0055	31.08	2.891
0.0082	31.29	2.874
0.011	31.5	2.857
0.0137	31.7	2.841
0.0164	31.91	2.825
0.0192	32.12	2.81
0.0219	32.32	2.795
0.0246	32.52	2.781
0.0274	32.72	2.766
0.0301	32.92	2.753
0.0329	33.13	2.739
0.0356	33.32	2.726
0.0383	33.52	2.714
0.0575	34.89	2.634
0.0767	36.22	2.567
0.0958	37.5	2.511
0.115	38.75	2.463
0.1342	39.96	2.422
0.1533	41.13	2.386
0.1725	42.26	2.356
0.1916	43.35	2.329
0.2108	44.4	2.306
0.23	45.43	2.286
0.2491	46.41	2.269
0.25	46.46	2.268
0.2917	48.48	2.238
0.3333	50.36	2.217
0.375	52.11	2.203
0.4167	53.74	2.194
0.4583	55.24	2.189
0.5	56.65	2.188
0.5417	57.97	2.19
0.5833	59.21	2.194
0.625	60.37	2.201
0.6667	61.46	2.21
0.7083	62.5	2.22
0.75	63.48	2.231
0.7917	64.42	2.243
0.8333	65.31	2.257
0.875	66.17	2.271
0.9167	67	2.286
0.9583	67.79	2.302
1	68.56	2.318
1.0833	70.02	2.352
1.1667	71.4	2.387
1.25	72.71	2.423
1.3333	73.96	2.461
1.4167	75.16	2.499
1.5	76.31	2.537
1.5833	77.43	2.576
1.6667	78.51	2.615
1.75	79.55	2.654
1.8333	80.57	2.694
1.9167	81.56	2.733
2	82.52	2.773
2.5	87.83	3.011
3	92.5	3.249
3.5	96.69	3.486
4	100.5	3.722
