name = nl
year = 2012
yname = hgt
sex = female
sub = 25
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	28.6	2.669
0.0027	28.82	2.65
0.0055	29.05	2.632
0.0082	29.27	2.614
0.011	29.49	2.596
0.0137	29.71	2.58
0.0164	29.92	2.564
0.0192	30.15	2.548
0.0219	30.36	2.532
0.0246	30.57	2.518
0.0274	30.79	2.503
0.0301	31	2.489
0.0329	31.22	2.475
0.0356	31.43	2.462
0.0383	31.64	2.449
0.0575	33.08	2.367
0.0767	34.48	2.299
0.0958	35.83	2.241
0.115	37.13	2.192
0.1342	38.39	2.15
0.1533	39.6	2.114
0.1725	40.78	2.082
0.1916	41.91	2.055
0.2108	43	2.032
0.23	44.06	2.011
0.2491	45.07	1.994
0.25	45.12	1.993
0.2917	47.21	1.962
0.3333	49.15	1.94
0.375	50.95	1.924
0.4167	52.61	1.914
0.4583	54.16	1.908
0.5	55.61	1.905
0.5417	56.96	1.905
0.5833	58.22	1.907
0.625	59.41	1.912
0.6667	60.52	1.918
0.7083	61.58	1.926
0.75	62.58	1.934
0.7917	63.54	1.944
0.8333	64.45	1.955
0.875	65.32	1.967
0.9167	66.16	1.979
0.9583	66.97	1.992
1	67.75	2.006
1.0833	69.23	2.034
1.1667	70.62	2.064
1.25	71.95	2.095
1.3333	73.21	2.127
1.4167	74.42	2.159
1.5	75.59	2.192
1.5833	76.71	2.226
1.6667	77.79	2.259
1.75	78.84	2.293
1.8333	79.86	2.328
1.9167	80.85	2.362
2	81.82	2.397
2.5	87.12	2.606
3	91.78	2.817
3.5	95.95	3.029
4	99.72	3.241
