name = nl
year = 2012
yname = hdc
sex = female
sub = 32
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	29.12	1.475
0.0027	29.21	1.466
0.0055	29.32	1.457
0.0082	29.42	1.448
0.011	29.52	1.439
0.0137	29.62	1.431
0.0164	29.73	1.423
0.0192	29.83	1.415
0.0219	29.94	1.408
0.0246	30.04	1.401
0.0274	30.16	1.394
0.0301	30.26	1.387
0.0329	30.38	1.381
0.0356	30.48	1.374
0.0383	30.59	1.368
0.0575	31.38	1.331
0.0767	32.17	1.301
0.0958	32.93	1.276
0.115	33.67	1.255
0.1342	34.35	1.238
0.1533	34.99	1.224
0.1725	35.59	1.212
0.1916	36.14	1.202
0.2108	36.65	1.193
0.23	37.12	1.186
0.2491	37.56	1.181
0.25	37.58	1.181
0.2917	38.45	1.173
0.3333	39.22	1.171
0.375	39.91	1.172
0.4167	40.54	1.176
0.4583	41.11	1.182
0.5	41.64	1.191
0.5417	42.13	1.201
0.5833	42.58	1.213
0.625	42.99	1.225
0.6667	43.38	1.238
0.7083	43.73	1.252
0.75	44.06	1.267
0.7917	44.37	1.282
0.8333	44.65	1.298
0.875	44.92	1.314
0.9167	45.17	1.33
0.9583	45.4	1.347
1	45.61	1.364
1.0833	46	1.399
1.1667	46.35	1.435
1.25	46.65	1.473
1.3333	46.92	1.511
1.4167	47.16	1.55
1.5	47.37	1.589
