name = nl
year = 2012
yname = hdc
sex = female
sub = 30
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	27.02	1.531
0.0027	27.13	1.523
0.0055	27.25	1.514
0.0082	27.37	1.506
0.011	27.49	1.498
0.0137	27.6	1.49
0.0164	27.72	1.483
0.0192	27.84	1.475
0.0219	27.96	1.468
0.0246	28.08	1.462
0.0274	28.21	1.455
0.0301	28.33	1.449
0.0329	28.46	1.443
0.0356	28.58	1.437
0.0383	28.71	1.431
0.0575	29.6	1.396
0.0767	30.48	1.367
0.0958	31.33	1.343
0.115	32.15	1.323
0.1342	32.92	1.307
0.1533	33.64	1.292
0.1725	34.31	1.28
0.1916	34.93	1.27
0.2108	35.51	1.261
0.23	36.04	1.254
0.2491	36.54	1.248
0.25	36.57	1.248
0.2917	37.55	1.239
0.3333	38.42	1.235
0.375	39.2	1.235
0.4167	39.9	1.238
0.4583	40.54	1.244
0.5	41.13	1.252
0.5417	41.66	1.261
0.5833	42.15	1.273
0.625	42.61	1.285
0.6667	43.02	1.298
0.7083	43.41	1.312
0.75	43.76	1.326
0.7917	44.09	1.342
0.8333	44.39	1.357
0.875	44.67	1.373
0.9167	44.93	1.39
0.9583	45.17	1.407
1	45.39	1.424
1.0833	45.79	1.459
1.1667	46.14	1.496
1.25	46.44	1.534
1.3333	46.7	1.573
1.4167	46.93	1.612
1.5	47.13	1.652
