name = nl
year = 2012
yname = hgt
sex = male
sub = 27
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	32.8	3.362
0.0027	33	3.36
0.0055	33.2	3.358
0.0082	33.39	3.355
0.011	33.59	3.353
0.0137	33.79	3.351
0.0164	33.98	3.348
0.0192	34.18	3.346
0.0219	34.38	3.344
0.0246	34.57	3.342
0.0274	34.77	3.34
0.0301	34.97	3.338
0.0329	35.17	3.336
0.0356	35.36	3.334
0.0383	35.55	3.332
0.0575	36.92	3.319
0.0767	38.26	3.308
0.0958	39.57	3.298
0.115	40.86	3.289
0.1342	42.12	3.282
0.1533	43.34	3.274
0.1725	44.53	3.268
0.1916	45.67	3.263
0.2108	46.79	3.258
0.23	47.87	3.254
0.2491	48.91	3.25
0.25	48.95	3.25
0.2917	51.09	3.245
0.3333	53.05	3.243
0.375	54.86	3.243
0.4167	56.53	3.246
0.4583	58.07	3.251
0.5	59.49	3.259
0.5417	60.82	3.268
0.5833	62.04	3.279
0.625	63.19	3.291
0.6667	64.27	3.305
0.7083	65.29	3.32
0.75	66.25	3.336
0.7917	67.17	3.354
0.8333	68.04	3.372
0.875	68.87	3.391
0.9167	69.67	3.41
0.9583	70.43	3.43
1	71.17	3.451
1.0833	72.58	3.494
1.1667	73.92	3.539
1.25	75.18	3.584
1.3333	76.39	3.631
1.4167	77.54	3.678
1.5	78.66	3.726
1.5833	79.74	3.774
1.6667	80.78	3.822
1.75	81.79	3.87
1.8333	82.77	3.918
1.9167	83.73	3.966
2	84.66	4.014
2.5	89.82	4.296
3	94.36	4.569
3.5	98.43	4.832
4	102.13	5.087
