name = nl
year = 2012
yname = hdc
sex = male
sub = 36
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	33.47	1.473
0.0027	33.53	1.457
0.0055	33.6	1.442
0.0082	33.67	1.428
0.011	33.74	1.414
0.0137	33.81	1.401
0.0164	33.89	1.389
0.0192	33.96	1.376
0.0219	34.04	1.365
0.0246	34.12	1.354
0.0274	34.2	1.343
0.0301	34.28	1.333
0.0329	34.36	1.323
0.0356	34.45	1.314
0.0383	34.53	1.305
0.0575	35.13	1.252
0.0767	35.75	1.211
0.0958	36.37	1.18
0.115	36.96	1.157
0.1342	37.52	1.139
0.1533	38.05	1.126
0.1725	38.55	1.116
0.1916	39	1.109
0.2108	39.43	1.105
0.23	39.83	1.102
0.2491	40.19	1.101
0.25	40.21	1.101
0.2917	40.94	1.104
0.3333	41.59	1.11
0.375	42.17	1.12
0.4167	42.71	1.131
0.4583	43.2	1.144
0.5	43.65	1.158
0.5417	44.07	1.173
0.5833	44.46	1.188
0.625	44.82	1.204
0.6667	45.15	1.22
0.7083	45.46	1.236
0.75	45.74	1.253
0.7917	46.01	1.27
0.8333	46.25	1.288
0.875	46.48	1.305
0.9167	46.69	1.323
0.9583	46.89	1.341
1	47.07	1.359
1.0833	47.39	1.395
1.1667	47.67	1.432
1.25	47.91	1.47
1.3333	48.12	1.507
1.4167	48.3	1.545
1.5	48.46	1.583
