name = nl
year = 2012
yname = hdc
sex = male
sub = 28
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	25.48	1.566
0.0027	25.6	1.565
0.0055	25.72	1.563
0.0082	25.85	1.562
0.011	25.97	1.561
0.0137	26.1	1.559
0.0164	26.23	1.558
0.0192	26.36	1.557
0.0219	26.49	1.556
0.0246	26.62	1.555
0.0274	26.75	1.555
0.0301	26.89	1.554
0.0329	27.02	1.553
0.0356	27.16	1.553
0.0383	27.29	1.552
0.0575	28.25	1.55
0.0767	29.21	1.549
0.0958	30.14	1.55
0.115	31.05	1.552
0.1342	31.91	1.554
0.1533	32.72	1.556
0.1725	33.48	1.558
0.1916	34.19	1.56
0.2108	34.87	1.562
0.23	35.5	1.564
0.2491	36.08	1.566
0.25	36.11	1.566
0.2917	37.28	1.57
0.3333	38.31	1.573
0.375	39.24	1.575
0.4167	40.08	1.577
0.4583	40.84	1.578
0.5	41.52	1.579
0.5417	42.15	1.58
0.5833	42.71	1.58
0.625	43.23	1.58
0.6667	43.7	1.58
0.7083	44.13	1.58
0.75	44.52	1.58
0.7917	44.88	1.58
0.8333	45.21	1.579
0.875	45.5	1.579
0.9167	45.77	1.578
0.9583	46.01	1.577
1	46.24	1.576
1.0833	46.62	1.574
1.1667	46.94	1.572
1.25	47.2	1.569
1.3333	47.41	1.567
1.4167	47.57	1.564
1.5	47.7	1.561
