name = nl
year = 2012
yname = hgt
sex = female
sub = 34
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	44.59	2.449
0.0027	44.7	2.445
0.0055	44.82	2.441
0.0082	44.94	2.437
0.011	45.06	2.432
0.0137	45.18	2.429
0.0164	45.3	2.425
0.0192	45.42	2.421
0.0219	45.54	2.418
0.0246	45.66	2.414
0.0274	45.78	2.411
0.0301	45.9	2.408
0.0329	46.03	2.404
0.0356	46.15	2.401
0.0383	46.27	2.398
0.0575	47.14	2.379
0.0767	48.02	2.364
0.0958	48.9	2.351
0.115	49.77	2.34
0.1342	50.64	2.331
0.1533	51.48	2.324
0.1725	52.32	2.319
0.1916	53.14	2.314
0.2108	53.94	2.311
0.23	54.72	2.309
0.2491	55.48	2.309
0.25	55.51	2.309
0.2917	57.1	2.31
0.3333	58.59	2.315
0.375	59.99	2.324
0.4167	61.3	2.335
0.4583	62.53	2.348
0.5	63.68	2.363
0.5417	64.77	2.38
0.5833	65.79	2.398
0.625	66.76	2.417
0.6667	67.68	2.438
0.7083	68.55	2.459
0.75	69.38	2.481
0.7917	70.18	2.503
0.8333	70.94	2.526
0.875	71.68	2.55
0.9167	72.39	2.574
0.9583	73.08	2.598
1	73.75	2.622
1.0833	75.03	2.671
1.1667	76.25	2.721
1.25	77.42	2.77
1.3333	78.55	2.82
1.4167	79.64	2.87
1.5	80.7	2.919
1.5833	81.73	2.968
1.6667	82.73	3.017
1.75	83.71	3.065
1.8333	84.66	3.113
1.9167	85.6	3.161
2	86.51	3.208
2.5	91.62	3.479
3	96.22	3.737
3.5	100.4	3.982
4	104.24	4.218
