name = nl
year = 2012
yname = hgt
sex = male
sub = 29
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	36.82	3.115
0.0027	36.98	3.11
0.0055	37.15	3.104
0.0082	37.32	3.099
0.011	37.49	3.094
0.0137	37.66	3.089
0.0164	37.83	3.084
0.0192	38	3.079
0.0219	38.17	3.075
0.0246	38.34	3.071
0.0274	38.51	3.066
0.0301	38.68	3.062
0.0329	38.86	3.058
0.0356	39.03	3.054
0.0383	39.2	3.05
0.0575	40.4	3.025
0.0767	41.61	3.005
0.0958	42.79	2.987
0.115	43.97	2.973
0.1342	45.12	2.961
0.1533	46.24	2.951
0.1725	47.34	2.943
0.1916	48.4	2.937
0.2108	49.44	2.932
0.23	50.45	2.929
0.2491	51.42	2.927
0.25	51.46	2.927
0.2917	53.46	2.925
0.3333	55.31	2.928
0.375	57.02	2.935
0.4167	58.6	2.944
0.4583	60.05	2.955
0.5	61.4	2.969
0.5417	62.66	2.984
0.5833	63.83	3
0.625	64.92	3.017
0.6667	65.96	3.036
0.7083	66.92	3.055
0.75	67.85	3.075
0.7917	68.72	3.096
0.8333	69.56	3.117
0.875	70.36	3.139
0.9167	71.12	3.161
0.9583	71.86	3.183
1	72.58	3.206
1.0833	73.94	3.253
1.1667	75.24	3.3
1.25	76.47	3.348
1.3333	77.65	3.397
1.4167	78.78	3.445
1.5	79.87	3.494
1.5833	80.93	3.542
1.6667	81.96	3.59
1.75	82.96	3.638
1.8333	83.93	3.686
1.9167	84.88	3.733
2	85.8	3.78
2.5	90.94	4.053
3	95.5	4.312
3.5	99.61	4.558
4	103.34	4.794
