name = nl
year = 2012
yname = hdc
sex = female
sub = 25
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	21.36	1.565
0.0027	21.5	1.559
0.0055	21.64	1.554
0.0082	21.78	1.549
0.011	21.93	1.544
0.0137	22.07	1.539
0.0164	22.22	1.534
0.0192	22.37	1.53
0.0219	22.51	1.526
0.0246	22.66	1.522
0.0274	22.81	1.518
0.0301	22.96	1.514
0.0329	23.11	1.51
0.0356	23.26	1.507
0.0383	23.41	1.503
0.0575	24.47	1.482
0.0767	25.53	1.466
0.0958	26.56	1.453
0.115	27.55	1.442
0.1342	28.49	1.433
0.1533	29.37	1.425
0.1725	30.21	1.418
0.1916	30.99	1.412
0.2108	31.73	1.407
0.23	32.42	1.402
0.2491	33.07	1.398
0.25	33.1	1.398
0.2917	34.4	1.392
0.3333	35.55	1.388
0.375	36.58	1.387
0.4167	37.51	1.388
0.4583	38.34	1.392
0.5	39.1	1.398
0.5417	39.78	1.406
0.5833	40.4	1.416
0.625	40.96	1.427
0.6667	41.47	1.44
0.7083	41.92	1.453
0.75	42.34	1.467
0.7917	42.72	1.482
0.8333	43.06	1.497
0.875	43.37	1.513
0.9167	43.65	1.53
0.9583	43.91	1.546
1	44.14	1.564
1.0833	44.55	1.6
1.1667	44.88	1.637
1.25	45.15	1.675
1.3333	45.36	1.714
1.4167	45.54	1.755
1.5	45.67	1.796
