name = nl
year = 2012
yname = hgt
sex = female
sub = 33
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	43.12	2.61
0.0027	43.24	2.605
0.0055	43.37	2.599
0.0082	43.5	2.594
0.011	43.63	2.589
0.0137	43.76	2.584
0.0164	43.88	2.579
0.0192	44.01	2.574
0.0219	44.14	2.57
0.0246	44.27	2.566
0.0274	44.4	2.561
0.0301	44.53	2.557
0.0329	44.66	2.553
0.0356	44.79	2.549
0.0383	44.92	2.545
0.0575	45.85	2.521
0.0767	46.78	2.5
0.0958	47.69	2.483
0.115	48.61	2.469
0.1342	49.51	2.457
0.1533	50.39	2.447
0.1725	51.26	2.439
0.1916	52.1	2.432
0.2108	52.93	2.427
0.23	53.74	2.423
0.2491	54.52	2.421
0.25	54.56	2.421
0.2917	56.19	2.419
0.3333	57.72	2.422
0.375	59.16	2.428
0.4167	60.51	2.437
0.4583	61.77	2.449
0.5	62.96	2.463
0.5417	64.07	2.478
0.5833	65.12	2.496
0.625	66.11	2.514
0.6667	67.04	2.534
0.7083	67.94	2.555
0.75	68.79	2.577
0.7917	69.6	2.599
0.8333	70.38	2.622
0.875	71.13	2.645
0.9167	71.86	2.669
0.9583	72.56	2.693
1	73.24	2.717
1.0833	74.55	2.767
1.1667	75.79	2.817
1.25	76.98	2.867
1.3333	78.13	2.917
1.4167	79.24	2.968
1.5	80.31	3.018
1.5833	81.35	3.067
1.6667	82.37	3.117
1.75	83.36	3.166
1.8333	84.32	3.215
1.9167	85.27	3.263
2	86.19	3.311
2.5	91.35	3.589
3	95.98	3.853
3.5	100.18	4.105
4	104.03	4.349
