name = nl
year = 2012
yname = hdc
sex = male
sub = 33
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	30.76	1.616
0.0027	30.85	1.601
0.0055	30.94	1.586
0.0082	31.04	1.572
0.011	31.14	1.558
0.0137	31.24	1.545
0.0164	31.33	1.533
0.0192	31.44	1.521
0.0219	31.54	1.51
0.0246	31.64	1.499
0.0274	31.75	1.488
0.0301	31.85	1.478
0.0329	31.96	1.468
0.0356	32.06	1.459
0.0383	32.17	1.45
0.0575	32.93	1.396
0.0767	33.69	1.354
0.0958	34.44	1.322
0.115	35.15	1.296
0.1342	35.83	1.277
0.1533	36.46	1.261
0.1725	37.05	1.249
0.1916	37.6	1.24
0.2108	38.11	1.233
0.23	38.59	1.229
0.2491	39.03	1.225
0.25	39.05	1.225
0.2917	39.93	1.222
0.3333	40.7	1.224
0.375	41.4	1.228
0.4167	42.03	1.234
0.4583	42.6	1.241
0.5	43.13	1.249
0.5417	43.62	1.258
0.5833	44.06	1.268
0.625	44.48	1.278
0.6667	44.86	1.288
0.7083	45.21	1.299
0.75	45.53	1.31
0.7917	45.83	1.321
0.8333	46.1	1.332
0.875	46.36	1.343
0.9167	46.59	1.354
0.9583	46.81	1.366
1	47.01	1.377
1.0833	47.37	1.4
1.1667	47.67	1.424
1.25	47.93	1.447
1.3333	48.15	1.471
1.4167	48.34	1.494
1.5	48.5	1.518
