name = nl
year = 2012
yname = hdc
sex = male
sub = 32
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	29.75	1.639
0.0027	29.85	1.626
0.0055	29.96	1.612
0.0082	30.06	1.6
0.011	30.17	1.587
0.0137	30.27	1.576
0.0164	30.38	1.565
0.0192	30.49	1.554
0.0219	30.6	1.543
0.0246	30.71	1.533
0.0274	30.82	1.524
0.0301	30.93	1.514
0.0329	31.05	1.505
0.0356	31.16	1.497
0.0383	31.27	1.489
0.0575	32.08	1.439
0.0767	32.89	1.4
0.0958	33.68	1.37
0.115	34.44	1.346
0.1342	35.16	1.328
0.1533	35.83	1.313
0.1725	36.46	1.302
0.1916	37.04	1.293
0.2108	37.58	1.286
0.23	38.09	1.281
0.2491	38.56	1.278
0.25	38.58	1.278
0.2917	39.51	1.274
0.3333	40.33	1.274
0.375	41.07	1.277
0.4167	41.74	1.282
0.4583	42.35	1.288
0.5	42.9	1.294
0.5417	43.41	1.301
0.5833	43.88	1.309
0.625	44.32	1.317
0.6667	44.71	1.326
0.7083	45.08	1.334
0.75	45.41	1.343
0.7917	45.72	1.352
0.8333	46.01	1.361
0.875	46.27	1.37
0.9167	46.51	1.379
0.9583	46.74	1.389
1	46.94	1.398
1.0833	47.31	1.417
1.1667	47.62	1.435
1.25	47.88	1.454
1.3333	48.1	1.473
1.4167	48.29	1.492
1.5	48.45	1.51
