name = nl
year = 2012
yname = hgt
sex = female
sub = 36
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	47.27	2.223
0.0027	47.36	2.22
0.0055	47.47	2.218
0.0082	47.57	2.215
0.011	47.67	2.213
0.0137	47.77	2.21
0.0164	47.87	2.208
0.0192	47.98	2.206
0.0219	48.08	2.203
0.0246	48.19	2.201
0.0274	48.3	2.199
0.0301	48.4	2.197
0.0329	48.51	2.195
0.0356	48.62	2.193
0.0383	48.73	2.192
0.0575	49.51	2.18
0.0767	50.3	2.172
0.0958	51.1	2.165
0.115	51.9	2.159
0.1342	52.7	2.155
0.1533	53.48	2.153
0.1725	54.26	2.151
0.1916	55.02	2.151
0.2108	55.77	2.151
0.23	56.5	2.152
0.2491	57.21	2.154
0.25	57.25	2.154
0.2917	58.74	2.161
0.3333	60.15	2.17
0.375	61.47	2.182
0.4167	62.72	2.197
0.4583	63.89	2.213
0.5	64.99	2.23
0.5417	66.02	2.249
0.5833	66.99	2.269
0.625	67.92	2.29
0.6667	68.79	2.312
0.7083	69.62	2.334
0.75	70.42	2.357
0.7917	71.18	2.38
0.8333	71.91	2.404
0.875	72.62	2.428
0.9167	73.3	2.453
0.9583	73.96	2.477
1	74.6	2.502
1.0833	75.83	2.552
1.1667	77.01	2.602
1.25	78.14	2.652
1.3333	79.23	2.702
1.4167	80.29	2.752
1.5	81.32	2.801
1.5833	82.31	2.85
1.6667	83.29	2.899
1.75	84.24	2.947
1.8333	85.17	2.994
1.9167	86.08	3.041
2	86.97	3.088
2.5	91.98	3.357
3	96.5	3.61
3.5	100.62	3.851
4	104.41	4.081
