name = nl
year = 2012
yname = hdc
sex = male
sub = 29
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	26.58	1.615
0.0027	26.69	1.61
0.0055	26.82	1.604
0.0082	26.94	1.6
0.011	27.06	1.595
0.0137	27.18	1.59
0.0164	27.3	1.586
0.0192	27.43	1.582
0.0219	27.56	1.578
0.0246	27.68	1.574
0.0274	27.82	1.57
0.0301	27.94	1.567
0.0329	28.08	1.563
0.0356	28.21	1.56
0.0383	28.33	1.557
0.0575	29.26	1.538
0.0767	30.19	1.524
0.0958	31.1	1.513
0.115	31.97	1.505
0.1342	32.8	1.499
0.1533	33.58	1.495
0.1725	34.31	1.491
0.1916	34.99	1.489
0.2108	35.64	1.487
0.23	36.24	1.486
0.2491	36.79	1.485
0.25	36.82	1.485
0.2917	37.93	1.485
0.3333	38.91	1.486
0.375	39.79	1.487
0.4167	40.58	1.489
0.4583	41.29	1.491
0.5	41.95	1.494
0.5417	42.54	1.496
0.5833	43.08	1.498
0.625	43.58	1.5
0.6667	44.03	1.503
0.7083	44.44	1.505
0.75	44.82	1.507
0.7917	45.16	1.509
0.8333	45.48	1.512
0.875	45.77	1.514
0.9167	46.03	1.516
0.9583	46.27	1.518
1	46.49	1.52
1.0833	46.87	1.524
1.1667	47.19	1.527
1.25	47.45	1.531
1.3333	47.66	1.534
1.4167	47.84	1.537
1.5	47.98	1.54
