name = nl
year = 2012
yname = hdc
sex = female
sub = 34
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	31.06	1.428
0.0027	31.14	1.419
0.0055	31.22	1.409
0.0082	31.31	1.4
0.011	31.39	1.391
0.0137	31.48	1.383
0.0164	31.56	1.375
0.0192	31.65	1.367
0.0219	31.74	1.36
0.0246	31.83	1.353
0.0274	31.92	1.345
0.0301	32.01	1.339
0.0329	32.11	1.332
0.0356	32.2	1.326
0.0383	32.3	1.32
0.0575	32.98	1.282
0.0767	33.66	1.252
0.0958	34.33	1.228
0.115	34.98	1.208
0.1342	35.58	1.192
0.1533	36.15	1.178
0.1725	36.67	1.167
0.1916	37.16	1.158
0.2108	37.61	1.15
0.23	38.02	1.144
0.2491	38.41	1.14
0.25	38.43	1.139
0.2917	39.2	1.133
0.3333	39.87	1.132
0.375	40.49	1.134
0.4167	41.05	1.139
0.4583	41.57	1.147
0.5	42.04	1.156
0.5417	42.49	1.167
0.5833	42.9	1.179
0.625	43.28	1.192
0.6667	43.63	1.205
0.7083	43.96	1.22
0.75	44.27	1.235
0.7917	44.56	1.25
0.8333	44.82	1.266
0.875	45.08	1.282
0.9167	45.31	1.299
0.9583	45.53	1.316
1	45.74	1.333
1.0833	46.12	1.368
1.1667	46.45	1.405
1.25	46.75	1.442
1.3333	47.02	1.48
1.4167	47.26	1.52
1.5	47.48	1.559
