name = nl
year = 2012
yname = hdc
sex = male
sub = 26
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	23.22	1.41
0.0027	23.34	1.416
0.0055	23.47	1.423
0.0082	23.6	1.429
0.011	23.74	1.435
0.0137	23.87	1.441
0.0164	24	1.447
0.0192	24.14	1.453
0.0219	24.28	1.459
0.0246	24.41	1.465
0.0274	24.55	1.471
0.0301	24.69	1.476
0.0329	24.83	1.482
0.0356	24.97	1.488
0.0383	25.11	1.493
0.0575	26.12	1.53
0.0767	27.12	1.564
0.0958	28.11	1.594
0.115	29.06	1.621
0.1342	29.98	1.646
0.1533	30.84	1.668
0.1725	31.66	1.686
0.1916	32.43	1.703
0.2108	33.15	1.717
0.23	33.84	1.729
0.2491	34.48	1.74
0.25	34.51	1.74
0.2917	35.8	1.758
0.3333	36.94	1.769
0.375	37.97	1.776
0.4167	38.9	1.779
0.4583	39.74	1.78
0.5	40.5	1.778
0.5417	41.19	1.776
0.5833	41.81	1.772
0.625	42.38	1.768
0.6667	42.89	1.763
0.7083	43.36	1.757
0.75	43.78	1.751
0.7917	44.16	1.745
0.8333	44.5	1.738
0.875	44.81	1.732
0.9167	45.09	1.724
0.9583	45.35	1.717
1	45.57	1.71
1.0833	45.96	1.694
1.1667	46.28	1.678
1.25	46.52	1.662
1.3333	46.71	1.646
1.4167	46.86	1.63
1.5	46.96	1.613
