name = nl
year = 2012
yname = hgt
sex = female
sub = 31
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	39.93	2.956
0.0027	40.08	2.948
0.0055	40.23	2.939
0.0082	40.37	2.931
0.011	40.52	2.922
0.0137	40.67	2.915
0.0164	40.82	2.907
0.0192	40.97	2.9
0.0219	41.11	2.892
0.0246	41.26	2.886
0.0274	41.41	2.879
0.0301	41.56	2.872
0.0329	41.71	2.865
0.0356	41.86	2.859
0.0383	42	2.853
0.0575	43.04	2.814
0.0767	44.07	2.781
0.0958	45.08	2.753
0.115	46.08	2.729
0.1342	47.06	2.709
0.1533	48.01	2.692
0.1725	48.95	2.677
0.1916	49.85	2.665
0.2108	50.74	2.654
0.23	51.61	2.646
0.2491	52.44	2.639
0.25	52.48	2.639
0.2917	54.22	2.629
0.3333	55.84	2.625
0.375	57.36	2.625
0.4167	58.78	2.63
0.4583	60.11	2.638
0.5	61.36	2.649
0.5417	62.52	2.662
0.5833	63.62	2.677
0.625	64.66	2.694
0.6667	65.64	2.712
0.7083	66.57	2.731
0.75	67.46	2.752
0.7917	68.31	2.773
0.8333	69.12	2.795
0.875	69.91	2.818
0.9167	70.66	2.842
0.9583	71.39	2.865
1	72.1	2.89
1.0833	73.45	2.939
1.1667	74.74	2.989
1.25	75.96	3.04
1.3333	77.14	3.091
1.4167	78.28	3.142
1.5	79.38	3.194
1.5833	80.45	3.245
1.6667	81.49	3.296
1.75	82.5	3.346
1.8333	83.48	3.397
1.9167	84.44	3.447
2	85.38	3.496
2.5	90.61	3.787
3	95.28	4.065
3.5	99.51	4.334
4	103.38	4.596
