name = nl
year = 2012
yname = hgt
sex = female
sub = 32
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	41.57	2.786
0.0027	41.7	2.779
0.0055	41.84	2.772
0.0082	41.98	2.765
0.011	42.12	2.759
0.0137	42.25	2.752
0.0164	42.39	2.746
0.0192	42.53	2.74
0.0219	42.67	2.735
0.0246	42.8	2.729
0.0274	42.94	2.724
0.0301	43.08	2.718
0.0329	43.22	2.713
0.0356	43.36	2.708
0.0383	43.5	2.703
0.0575	44.48	2.672
0.0767	45.46	2.646
0.0958	46.42	2.624
0.115	47.37	2.605
0.1342	48.31	2.589
0.1533	49.23	2.576
0.1725	50.13	2.565
0.1916	51.01	2.556
0.2108	51.86	2.548
0.23	52.7	2.542
0.2491	53.51	2.537
0.25	53.55	2.537
0.2917	55.23	2.532
0.3333	56.81	2.531
0.375	58.29	2.535
0.4167	59.67	2.542
0.4583	60.96	2.552
0.5	62.18	2.564
0.5417	63.32	2.579
0.5833	64.39	2.595
0.625	65.41	2.613
0.6667	66.37	2.632
0.7083	67.28	2.653
0.75	68.15	2.674
0.7917	68.98	2.696
0.8333	69.77	2.718
0.875	70.54	2.741
0.9167	71.28	2.765
0.9583	72	2.789
1	72.69	2.814
1.0833	74.02	2.863
1.1667	75.29	2.913
1.25	76.5	2.964
1.3333	77.66	3.015
1.4167	78.78	3.066
1.5	79.87	3.117
1.5833	80.93	3.168
1.6667	81.95	3.218
1.75	82.95	3.268
1.8333	83.93	3.318
1.9167	84.88	3.367
2	85.81	3.416
2.5	91.01	3.701
3	95.66	3.972
3.5	99.88	4.233
4	103.74	4.486
