name = nl
year = 2012
yname = hgt
sex = male
sub = 31
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	40.52	2.833
0.0027	40.66	2.827
0.0055	40.81	2.82
0.0082	40.95	2.813
0.011	41.1	2.807
0.0137	41.24	2.801
0.0164	41.38	2.795
0.0192	41.53	2.789
0.0219	41.68	2.783
0.0246	41.82	2.778
0.0274	41.98	2.773
0.0301	42.12	2.768
0.0329	42.28	2.763
0.0356	42.42	2.758
0.0383	42.57	2.753
0.0575	43.64	2.724
0.0767	44.71	2.701
0.0958	45.78	2.682
0.115	46.85	2.667
0.1342	47.91	2.656
0.1533	48.94	2.647
0.1725	49.96	2.64
0.1916	50.94	2.636
0.2108	51.91	2.633
0.23	52.85	2.632
0.2491	53.75	2.633
0.25	53.8	2.633
0.2917	55.67	2.637
0.3333	57.41	2.646
0.375	59.02	2.659
0.4167	60.51	2.673
0.4583	61.89	2.69
0.5	63.17	2.709
0.5417	64.37	2.728
0.5833	65.48	2.749
0.625	66.52	2.77
0.6667	67.5	2.792
0.7083	68.43	2.815
0.75	69.31	2.838
0.7917	70.14	2.862
0.8333	70.94	2.886
0.875	71.71	2.91
0.9167	72.45	2.934
0.9583	73.16	2.959
1	73.85	2.984
1.0833	75.17	3.033
1.1667	76.42	3.083
1.25	77.61	3.134
1.3333	78.76	3.184
1.4167	79.87	3.234
1.5	80.94	3.283
1.5833	81.97	3.332
1.6667	82.98	3.381
1.75	83.96	3.429
1.8333	84.92	3.477
1.9167	85.86	3.525
2	86.77	3.571
2.5	91.86	3.841
3	96.41	4.091
3.5	100.52	4.327
4	104.28	4.55
